City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2021-10-18 21:29:03,62.456,-114.3525,33.42,84,75,1.99
68,Qaanaaq,GL,2021-10-18 21:29:03,77.484,-69.3632,26.56,69,100,11.45
69,Bluff,NZ,2021-10-18 21:26:08,-46.6,168.3333,47.95,58,100,22.79
70,Half Moon Bay,US,2021-10-18 21:29:03,37.4636,-122.4286,65.37,61,75,3.0
71,Leningradskiy,RU,2021-10-18 21:29:04,69.3833,178.4167,5.81,92,100,3.58
72,Shenjiamen,CN,2021-10-18 21:29:04,29.9576,122.298,64.45,80,100,13.33
73,Asaka,JP,2021-10-18 21:29:04,35.8047,139.6019,57.72,68,100,9.24
74,Belaya Gora,RU,2021-10-18 21:29:05,68.5333,146.4167,-4.54,98,75,3.38
75,Henties Bay,NA,2021-10-18 21:29:05,-22.116,14.2845,58.86,74,100,6.67
76,Harnosand,SE,2021-10-18 21:29:05,62.6323,17.9379,34.0,73,8,7.83
77,New Norfolk,AU,2021-10-18 21:25:00,-42.7826,147.0587,49.66,72,86,1.99
78,La Libertad,EC,2021-10-18 21:29:06,-2.2333,-80.9,76.66,69,75,10.36
79,Songkhla,TH,2021-10-18 21:29:06,6.8333,100.6667,78.85,94,98,3.33
80,Vestmannaeyjar,IS,2021-10-18 21:29:07,63.4427,-20.2734,47.95,82,100,14.94
81,Touros,BR,2021-10-18 21:29:07,-5.1989,-35.4608,79.7,76,72,13.73
82,Slave Lake,CA,2021-10-18 21:29:07,55.2834,-114.769,35.58,75,90,9.22
83,Sorland,NO,2021-10-18 21:29:07,67.667,12.6934,40.23,54,98,10.98
84,Antofagasta,CL,2021-10-18 21:26:05,-23.65,-70.4,60.08,68,30,8.1
85,Mahebourg,MU,2021-10-18 21:26:31,-20.4081,57.7,74.25,78,75,12.66
86,Cusuna,HN,2021-10-18 21:29:08,15.85,-85.2333,80.46,86,68,5.37
87,Werda,BW,2021-10-18 21:29:08,-25.2667,23.2833,61.18,9,14,8.61
88,Sanford,US,2021-10-18 21:29:09,28.8006,-81.2731,81.12,58,20,4.0
89,Kruisfontein,ZA,2021-10-18 21:29:09,-34.0033,24.7314,47.88,68,0,5.75
90,Hilo,US,2021-10-18 21:29:05,19.7297,-155.09,79.79,73,90,4.61
91,Chokurdakh,RU,2021-10-18 21:29:09,70.6333,147.9167,-14.6,100,95,4.97
92,Jurm,AF,2021-10-18 21:29:10,36.8648,70.8342,50.41,42,0,2.24
